dist,dens
0,45305.10
0,37708.27
0,79189.80
0,236628.47
5,741.66
5,190.57
5,1023.98
5,807.40
10,78.47
10,10.79
10,6.51
10,25.54
20,5.29
20,12.93
20,31.18
20,3.23
